name	component	type	tracked_point	units	sampling_frequency	tracking_system
head_ACCEL_x	x	ACCEL	head	g	200	imu
head_ACCEL_y	y	ACCEL	head	g	200	imu
head_ACCEL_z	z	ACCEL	head	g	200	imu
head_GYRO_x	x	GYRO	head	deg/s	200	imu
head_GYRO_y	y	GYRO	head	deg/s	200	imu
head_GYRO_z	z	GYRO	head	deg/s	200	imu
head_MAGN_x	x	MAGN	head	Gauss	200	imu
head_MAGN_y	y	MAGN	head	Gauss	200	imu
head_MAGN_z	z	MAGN	head	Gauss	200	imu
sternum_ACCEL_x	x	ACCEL	sternum	g	200	imu
sternum_ACCEL_y	y	ACCEL	sternum	g	200	imu
sternum_ACCEL_z	z	ACCEL	sternum	g	200	imu
sternum_GYRO_x	x	GYRO	sternum	deg/s	200	imu
sternum_GYRO_y	y	GYRO	sternum	deg/s	200	imu
sternum_GYRO_z	z	GYRO	sternum	deg/s	200	imu
sternum_MAGN_x	x	MAGN	sternum	Gauss	200	imu
sternum_MAGN_y	y	MAGN	sternum	Gauss	200	imu
sternum_MAGN_z	z	MAGN	sternum	Gauss	200	imu
left_upper_arm_ACCEL_x	x	ACCEL	left_upper_arm	g	200	imu
left_upper_arm_ACCEL_y	y	ACCEL	left_upper_arm	g	200	imu
left_upper_arm_ACCEL_z	z	ACCEL	left_upper_arm	g	200	imu
left_upper_arm_GYRO_x	x	GYRO	left_upper_arm	deg/s	200	imu
left_upper_arm_GYRO_y	y	GYRO	left_upper_arm	deg/s	200	imu
left_upper_arm_GYRO_z	z	GYRO	left_upper_arm	deg/s	200	imu
left_upper_arm_MAGN_x	x	MAGN	left_upper_arm	Gauss	200	imu
left_upper_arm_MAGN_y	y	MAGN	left_upper_arm	Gauss	200	imu
left_upper_arm_MAGN_z	z	MAGN	left_upper_arm	Gauss	200	imu
left_fore_arm_ACCEL_x	x	ACCEL	left_fore_arm	g	200	imu
left_fore_arm_ACCEL_y	y	ACCEL	left_fore_arm	g	200	imu
left_fore_arm_ACCEL_z	z	ACCEL	left_fore_arm	g	200	imu
left_fore_arm_GYRO_x	x	GYRO	left_fore_arm	deg/s	200	imu
left_fore_arm_GYRO_y	y	GYRO	left_fore_arm	deg/s	200	imu
left_fore_arm_GYRO_z	z	GYRO	left_fore_arm	deg/s	200	imu
left_fore_arm_MAGN_x	x	MAGN	left_fore_arm	Gauss	200	imu
left_fore_arm_MAGN_y	y	MAGN	left_fore_arm	Gauss	200	imu
left_fore_arm_MAGN_z	z	MAGN	left_fore_arm	Gauss	200	imu
right_upper_arm_ACCEL_x	x	ACCEL	right_upper_arm	g	200	imu
right_upper_arm_ACCEL_y	y	ACCEL	right_upper_arm	g	200	imu
right_upper_arm_ACCEL_z	z	ACCEL	right_upper_arm	g	200	imu
right_upper_arm_GYRO_x	x	GYRO	right_upper_arm	deg/s	200	imu
right_upper_arm_GYRO_y	y	GYRO	right_upper_arm	deg/s	200	imu
right_upper_arm_GYRO_z	z	GYRO	right_upper_arm	deg/s	200	imu
right_upper_arm_MAGN_x	x	MAGN	right_upper_arm	Gauss	200	imu
right_upper_arm_MAGN_y	y	MAGN	right_upper_arm	Gauss	200	imu
right_upper_arm_MAGN_z	z	MAGN	right_upper_arm	Gauss	200	imu
right_fore_arm_ACCEL_x	x	ACCEL	right_fore_arm	g	200	imu
right_fore_arm_ACCEL_y	y	ACCEL	right_fore_arm	g	200	imu
right_fore_arm_ACCEL_z	z	ACCEL	right_fore_arm	g	200	imu
right_fore_arm_GYRO_x	x	GYRO	right_fore_arm	deg/s	200	imu
right_fore_arm_GYRO_y	y	GYRO	right_fore_arm	deg/s	200	imu
right_fore_arm_GYRO_z	z	GYRO	right_fore_arm	deg/s	200	imu
right_fore_arm_MAGN_x	x	MAGN	right_fore_arm	Gauss	200	imu
right_fore_arm_MAGN_y	y	MAGN	right_fore_arm	Gauss	200	imu
right_fore_arm_MAGN_z	z	MAGN	right_fore_arm	Gauss	200	imu
pelvis_ACCEL_x	x	ACCEL	pelvis	g	200	imu
pelvis_ACCEL_y	y	ACCEL	pelvis	g	200	imu
pelvis_ACCEL_z	z	ACCEL	pelvis	g	200	imu
pelvis_GYRO_x	x	GYRO	pelvis	deg/s	200	imu
pelvis_GYRO_y	y	GYRO	pelvis	deg/s	200	imu
pelvis_GYRO_z	z	GYRO	pelvis	deg/s	200	imu
pelvis_MAGN_x	x	MAGN	pelvis	Gauss	200	imu
pelvis_MAGN_y	y	MAGN	pelvis	Gauss	200	imu
