onset	duration	event_type
547	0	final_contact_left
659	0	initial_contact_left
703	0	final_contact_right
780	0	initial_contact_right
797	0	start
820	0	final_contact_left
913	0	initial_contact_left
960	0	final_contact_right
1047	0	initial_contact_right
1098	0	final_contact_left
1191	0	initial_contact_left
1244	0	final_contact_right
1340	0	initial_contact_right
1398	0	final_contact_left
1481	0	initial_contact_left
1535	0	final_contact_right
1625	0	initial_contact_right
1677	0	final_contact_left
1770	0	initial_contact_left
1823	0	final_contact_right
1912	0	initial_contact_right
1977	0	final_contact_left
2058	0	initial_contact_left
2122	0	final_contact_right
2207	0	initial_contact_right
2267	0	final_contact_left
2364	0	initial_contact_left
2390	0	stop
2424	0	final_contact_right
2513	0	initial_contact_right
2549	0	final_contact_left
